"Dam_Name","Longitude","Latitude","River","Dam_Height_ft","Year_Built","Removed","Unique_ID","Geoid"
"Wildcat Dam",-121.961,40.42024,"Battle Creek",NA,1912,1,32,"06089012603"
"Percolation Dam",-121.965,38.52162,"Putah Creek",NA,NA,1,33,"06095252903"
"Shasta River Water Association Diversion Dam",-122.347,40.85339,"Nelson Creek",NA,1912,1,34,"06089012500"
"Camp Meeker Dam",-122.959,38.42465,"Dutch Bill Creek",12,NA,1,35,"06097154306"
"Waterman Dam",-122.176097,37.21437,"Waterman Creek",12,1900,1,36,"06087120500"
"Glenbrook Gulch Dam",-123.669,39.26526,"Glenbrook Gulch (Albion River)",10,NA,1,37,"06045011004"
"Fife Creek Check Dam ",-123.004,38.53338,"Fife Creek",NA,NA,1,38,"06097153709"
"Ojai Valley Trail Ford",-119.307,34.37979,"San Antonio Creek",NA,NA,1,39,"06111009500"
"Camp Nine Dam",-120.377,38.13576,"Stanislaus River",NA,NA,1,40,"06109002102"
"Hostler Creek Dam ",-123.668,41.07869,"Hostler Creek",14,1940,1,41,"06023940000"
"Bear Creek Dam #3",-122.243,37.41515,"Bear Creek (San Francisquito Creek)",7,NA,1,42,"06081613400"
"Cahill Dam",-121.986,37.03797,"Branciforte Creek",8,1931,1,43,"06087121200"
"Bonde Weir",-122.17,37.44744,"San Francisquito Creek",2.1,1908,1,44,"06081612500"
"Hammer Diversion Dam",-122.722,40.12336,"South Fork Cottonwood Creek",NA,1934,1,45,"06103000300"
"HJFD10",-117.516,33.68371,"",1.5,NA,1,46,"06059032041"
"HJFD6",-117.516,33.68332,"",2.3,NA,1,47,"06059032041"
"HJFD7",-117.516,33.68333,"",2.5,NA,1,48,"06059032041"
"HJFD8",-117.516,33.68352,"",5,NA,1,49,"06059032041"
"HJFD9",-117.516,33.6837,"",2.3,NA,1,50,"06059032041"
"Lion Creek Diversion Dam",-119.164,34.54438,"Lion Creek",3,1940,1,51,"06111009700"
"TCFD10",-117.525,33.67441,"Trabuco Creek",2.5,NA,1,52,"06059032041"
"TCFD11",-117.525,33.67447,"Trabuco Creek",6.5,NA,1,53,"06059032041"
"TCFD7",-117.526,33.67418,"Trabuco Creek",6,NA,1,54,"06059032041"
"TCFD9",-117.525,33.67436,"Trabuco Creek",9,NA,1,55,"06059032041"
"Unknown Dam",-123.502,39.42051,"Olds Creek",NA,1908,1,56,"06045010300"
"Whites Gulch Upper Dam",-123.075701,41.28182,"Whites Gulch",NA,NA,1,57,"06093000800"
"Memorial Park Dam",-122.288465,37.273915,"Pescadero Creek",NA,1938,1,58,"06081613800"
"San Clemente Dam",-121.7088,36.4359,"Carmel River",106,1921,1,59,"06053011001"
"Maria Ygnacio Aijian Barrier",-119.794309,34.466395,"Maria Ygnacio Creek",5,NA,1,60,"06083000103"
"Rodeo Grounds Berm",-118.57961,34.04189,"Topanga Creek",NA,NA,1,61,"06037800506"
"Old Carmel River Dam",-121.7048028,36.43875,"Carmel River",32,1883,1,62,"06053011001"
"Benbow Dam",-123.7961,40.0666,"South Fork Eel River",20,1931,1,63,"06023011600"
"Dream Lake Dam",-121.408425,40.442033,"Hot Springs Creek",NA,NA,1,64,"06063000501"
"HJFD15",-117.512543966,33.6880621442,"Holy Jim Creek",9.3,NA,1,65,"06059032041"
"HJFD16",-117.511869966,33.6887681441,"Holy Jim Creek",2,NA,1,66,"06059032041"
"HJFD17",-117.511853966,33.6888471441,"Holy Jim Creek",4,NA,1,67,"06059032041"
"HJFD18",-117.511758966,33.6889901441,"Holy Jim Creek",3.5,NA,1,68,"06059032041"
"HJFD19",-117.511719966,33.689148144,"Holy Jim Creek",2.5,NA,1,69,"06059032041"
"Milliken Creek Dam",-122.263458,38.349033,"Milliken Creek/Napa River",13,NA,1,70,"06055201401"
"SCFD10",-117.570490951,33.7519081401,"Silverado Creek",7.5,NA,1,71,"06059032011"
"SCFD12",-117.568091951,33.7522271399,"Silverado Creek",4,NA,1,72,"06059032011"
"SCFD7",-117.571119636,33.7513886741,"Silverado Creek",6.5,NA,1,73,"06059032011"
"SCFD8",-117.571007715,33.7516528368,"Silverado Creek",6.5,NA,1,74,"06059032011"
"Dennett Dam",-120.98784,37.62733,"Tuolumne River",10,1933,1,75,"06099002302"
"HJFD1",-117.517196,33.67930715,"Holy Jim Creek",2.5,NA,1,76,"06059032041"
"HJFD11",-117.515112,33.68381514,"Holy Jim Creek",1,NA,1,77,"06059032041"
"HJFD2",-117.517256,33.68053315,"Holy Jim Creek",4,NA,1,78,"06059032041"
"HJFD21",-117.511821,33.69067414,"Holy Jim Creek",NA,NA,1,79,"06059032041"
"HJFD22",-117.51185,33.69085714,"Holy Jim Creek",5,NA,1,80,"06059032041"
"HJFD23",-117.511764,33.69109514,"Holy Jim Creek",NA,NA,1,81,"06059032041"
"HJFD25",-117.511602,33.69147814,"Holy Jim Creek",4,NA,1,82,"06059032041"
"HJFD26",-117.511527,33.69156214,"Holy Jim Creek",NA,NA,1,83,"06059032041"
"HJFD29",-117.512096,33.69223914,"Holy Jim Creek",6,NA,1,84,"06059032041"
"HJFD30",-117.512136,33.69219014,"Holy Jim Creek",4,NA,1,85,"06059032041"
"HJFD31",-117.512348,33.69232214,"Holy Jim Creek",NA,NA,1,86,"06059032041"
"HJFD32",-117.512698,33.69251214,"Holy Jim Creek",NA,NA,1,87,"06059032041"
"HJFD33",-117.51287,33.69276614,"Holy Jim Creek",NA,NA,1,88,"06059032041"
"HJFD34",-117.513166,33.69283114,"Holy Jim Creek",NA,NA,1,89,"06059032041"
"HJFD34.1/35",-117.513166,33.69283114,"Holy Jim Creek",NA,NA,1,90,"06059032041"
"HJFD37",-117.513562,33.69300514,"Holy Jim Creek",3,NA,1,91,"06059032041"
"HJFD40",-117.514166,33.69344114,"Holy Jim Creek",2.6,NA,1,92,"06059032041"
"HJFD41",-117.514226,33.69345114,"Holy Jim Creek",2.8,NA,1,93,"06059032041"
"Lagunita Diversion Dam",-122.1742,37.4234,"San Francisquito Creek",8,1900,1,94,"06085511608"
"SJFD1",-117.501797,33.59022515,"San Juan Creek",9,NA,1,95,"06059032064"
"SJFD10",-117.4999048,33.59066713,"San Juan Creek",NA,NA,1,96,"06059032041"
"SJFD11",-117.499826,33.59060515,"San Juan Creek",NA,NA,1,97,"06059032041"
"SJFD2",-117.501792,33.59029615,"San Juan Creek",2.5,NA,1,98,"06059032064"
"SJFD28",-117.46245,33.59726615,"San Juan Creek",NA,NA,1,99,"06059032041"
"SJFD29",-117.461799,33.59781615,"San Juan Creek",NA,NA,1,100,"06059032041"
"SJFD3",-117.501739,33.59041715,"San Juan Creek",NA,NA,1,101,"06059032064"
"SJFD30",-117.461512,33.59795315,"San Juan Creek",2.5,NA,1,102,"06059032064"
"SJFD31",-117.461361,33.59930115,"San Juan Creek",NA,NA,1,103,"06059032041"
"SJFD4",-117.501699,33.59047015,"San Juan Creek",NA,NA,1,104,"06059032064"
"SJFD5",-117.5015405,33.59077823,"San Juan Creek",NA,NA,1,105,"06059032041"
"SJFD6",-117.5014978,33.59081143,"San Juan Creek",NA,NA,1,106,"06059032041"
"SJFD7",-117.501019,33.59089312,"San Juan Creek",4.8,NA,1,107,"06059032041"
"SJFD9",-117.50021,33.59079912,"San Juan Creek",NA,NA,1,108,"06059032041"
"TCFD11",-117.525066,33.67436115,"Trabuco Creek",6.5,NA,1,109,"06059032041"
"Dempster Vineyard Dam",-122.918301,38.486137,"Green Valley Creek",6.6,NA,1,110,"06097153705"
"Pennington Creek Dam",-120.7328,35.3436,"Pennington Creek",NA,NA,1,111,"06079011505"
"HJFD3",-117.515912,33.68271815,"Holy Jim Creek",3,1970,1,112,"06059032041"
"HJFD4",-117.515878,33.68289515,"Holy Jim Creek",2,1970,1,113,"06059032041"
"HJFD5",-117.515863,33.68302615,"Holy Jim Creek",5,1970,1,114,"06059032041"
"Iron Horse Dam",-122.8967539,38.46321758,"Green Valley Creek",10,NA,1,115,"06097153711"
"Maria Ygnacio Debris Basin Dam East Branch",-119.791167,34.460633,"East Branch Maria Ygnacio Creek",20,1990,1,116,"06083000103"
"Maria Ygnacio Debris Basin Dam Main Branch",-119.791906,34.475239,"Maria Ygnacio Creek",20,1990,1,117,"06083000103"
"SCFD4",-117.501699,33.59047015,"Silverado Creek",10,1970,1,118,"06059032064"
"SCFD5",-117.5015405,33.59077823,"Silverado Creek",3,1970,1,119,"06059032041"
"SJFD12",-117.499648,33.59060215,"San Juan Creek",10,1970,1,120,"06059032041"
"SJFD13",-117.499024,33.59071315,"San Juan Creek",2,1970,1,121,"06059032041"
"SJFD14",-117.497336,33.59259715,"San Juan Creek",12,1970,1,122,"06059032041"
"SJFD15",-117.496232,33.59279315,"San Juan Creek",4,1970,1,123,"06059032041"
"SJFD17",-117.471615,33.59266615,"San Juan Creek",2,1970,1,124,"06059032041"
"SJFD18",-117.473384,33.59252015,"San Juan Creek",3,1970,1,125,"06059032041"
"SJFD19",-117.474884,33.59249515,"San Juan Creek",6,1970,1,126,"06059032041"
"SJFD20",-117.475298,33.59287715,"San Juan Creek",10,1970,1,127,"06059032041"
"SJFD21",-117.4709178,33.59209689,"San Juan Creek",3,1970,1,128,"06059032041"
"SJFD22",-117.470796,33.59212115,"San Juan Creek",2,1970,1,129,"06059032041"
"SJFD23",-117.468106,33.59424715,"San Juan Creek",13,1970,1,130,"06059032041"
"SJFD24",-117.470796,33.59212115,"San Juan Creek",5,1970,1,131,"06059032041"
"SJFD25",-117.468106,33.59424715,"San Juan Creek",2,1970,1,132,"06059032041"
"SJFD26",-117.4667394,33.59384097,"San Juan Creek",5,1970,1,133,"06059032041"
"SJFD27",-117.466307,33.59372615,"San Juan Creek",5,1970,1,134,"06059032041"
"Grenada Irrigation District Dam",-122.557544,41.727016,"Shasta River",12,NA,1,135,"06093000701"
"Beale Dam",-121.338499,39.108423,"Dry Creek",12,1943,1,136,"06115040902"
"York Dam",-122.496,38.509,"York Creek",24,NA,1,137,"06055201500"
"Columbine Dam",-121.7935,37.35344,"Flint Creek",24,1963,1,138,"06085503312"
"Lower Mill Creek Dam ",-122.1686,37.04256,"Mill Creek",15,1910,1,139,"06087120200"
"Cedar Creek Hatchery Dam",-123.7075,39.8398,"Cedar Creek",20,1948,1,140,"06045010200"
"Copco 2 Dam",-122.34025,41.97902,"Klamath River",63,1925,1,141,"06093000300"
"Double U Fish Ranch Dam",-120.9008,41.4555,"Howards Gulch",27,NA,1,142,"06049000300"
"East Weaver Creek Dam",-122.929808,40.776989,"East Weaver Creek",12,NA,1,143,"06105000102"
"Quail",-118.761555,34.772796,"West Branch CA Aqueduct       ",50,1981,0,144,"06037901209"
"Lake Alta",-120.8167,39.2025,"Tr Nfk American R",22,1862,0,145,"06061022013"
"Diamond Valley Lake Forebay",-117.0704,33.676,"Domenigoni Val Can",22,1999,0,146,"06065042737"
"Conagra Aerated and Settling Ponds",-120.8457,37.7558,"Offstream",15,NA,0,147,"06099000202"
"Chesbro",-121.0726,38.509,"Tr Cosumnes Rv",79,1972,0,148,"06067008601"
"Almaden",-121.828,37.1646,"Alamitos Creek",110,1936,0,149,"06085511911"
"Middle Fork Interbay",-120.6032,39.0264,"Middle Fork American River    ",70,1966,0,150,"06061020200"
"Modesto Reservoir",-120.6807,37.662,"Tr Tuolumne Rv",36,1911,0,151,"06099002801"
"Bidwell Lake",-120.9618,40.1137,"No Canyon Cr",35,1865,0,152,"06063000400"
"Buck Island Main",-120.2567,39.0047,"Rockbound Creek               ",22,1963,0,153,"06017030603"
"North Fork Diversion",-120.0168,38.4385,"North Fork Stanislaus River   ",53,1989,0,154,"06003010000"
"Stough Debris Basin",-118.3043,34.2004,"Stough Canyon",46,1961,0,155,"06037310100"
"Emergency Effluent Holding",-119.9653,38.9155,"Tr Heavenly Vy Cr",27,1961,0,156,"06017030504"
"El Dorado Forebay",-120.5855,38.7701,"North Fork Long Canyon        ",91,1923,0,157,"06017031302"
"Calero",-121.7913,37.1836,"Calero Creek",90,1935,0,158,"06085511911"
"Georgetown Cntrl",-120.7751,38.9232,"Canyon Creek",38,1956,0,159,"06017030603"
"Loma Rica Airport",-120.9903,39.2239,"Tr L Green Horn Cr",41,1965,0,160,"06057000701"
"Tahquitz Creek Debris",-116.5517,33.811,"Tahquitz Creek",32,1991,0,161,"06065940500"
"Preston",-120.9398,38.3698,"Tr Mule Creek",40,1949,0,162,"06005000301"
"Morena",-116.5479,32.686,"Cottonwood Cr",181,1912,0,163,"06073021101"
"Lower Sardine Lake",-120.6227,39.616,"Sardine Creek",17,1965,0,164,"06091010000"
"Stevens Creek",-122.0754,37.2983,"Stevens Creek",132,1935,0,165,"06085507705"
"Campbell Lake",-123.1024,41.5353,"Shackleford Cr",19,1929,0,166,"06093000800"
"Ice House Main",-120.3611,38.8237,"South Fork Silver Creek       ",148,1959,0,167,"06017030603"
"Nacimiento",-120.884,35.759,"Nacimiento River              ",210,1956,0,168,"06079010017"
"Wide Canyon",-116.3982,33.9369,"West Wide Canyon",84,1968,0,169,"06065044523"
"Blackburn",-118.4111,35.1018,"Blackburn Creek",48,1991,0,170,"06029006012"
"Detention Pond A",-121.8339,38.424,"Offstream",15,1989,0,171,"06095253402"
"El Dorado Hills",-121.0586,38.639,"Offstream",31,1980,0,172,"06017030711"
"Brand Debris Basin",-118.277,34.185,"Brand Debris Bns",45,1965,0,173,"06037300702"
"Veterans Home",-122.3784,38.3918,"Tr Napa River",47,1908,0,174,"06055201300"
"Middle Fork Brush Creek",-122.6726,38.4868,"Mfk Brush Cr",37,1961,0,175,"06097152601"
"Lagunitas",-122.5963,37.9476,"Lagunitas Creek",48,1872,0,176,"06041131100"
"Hell Hole",-120.4091,39.058,"Rubicon River                 ",410,1966,0,177,"06061020200"
"Lake Hodges",-117.1292,33.0459,"San Dieguito River",131,1918,0,178,"06073017111"
"San Antonio",-120.8857,35.7968,"San Antonio River",202,1965,0,179,"06053011400"
"Adobe Creek",-122.8893,38.9429,"Adobe Creek",36,1962,0,180,"06033001000"
"Madera Lake",-120.0015,37.0205,"Fresno River",31,1958,0,181,"06039000514"
"Camp Far West",-121.3165,39.0501,"Bear River                    ",185,1963,0,182,"06115040800"
"Lake Arthur",-121.0257,38.9635,"Sfk Dry Creek",44,1909,0,183,"06061021801"
"Johnson Ranch",-123.133,38.9656,"",26,NA,0,184,"06045011800"
"Thermalito Afterbay",-121.6871,39.4771,"Feather River - Off Stream    ",39,1967,0,185,"06007003700"
"Donner Lake",-120.2372,39.3236,"",16,1927,0,186,"06057001209"
"Merced Falls",-120.3295,37.5222,"Merced River                  ",43,1901,0,187,"06047002500"
"Perris Hill Reservoir",-117.264,34.1331,"Offstream",31,1962,0,188,"06071006301"
"Lake Madrone",-121.4079,39.6498,"Berry Creek",37,1931,0,189,"06007002402"
"Cull Creek",-122.0567,37.7037,"Cull Creek",55,1963,0,190,"06001430800"
"Mustang Creek",-120.6557,37.5062,"Mustang Creek",18,1975,0,191,"06047002500"
"Henry J. Mills No. 2",-117.3236,33.9212,"Offstream",34,1996,0,192,"06065042217"
"Runkle",-118.731,34.2448,"Runkle Canyon",41,1949,0,193,"06111007506"
"Mockingbird Canyon",-117.4156,33.8952,"Mockingbird Can",74,1914,0,194,"06065031701"
"Heenan Lake",-119.6648,38.6553,"Tr Efk Carson R",39,1929,0,195,"06003010000"
"Yucaipa No. 2",-117.0498,34.0531,"Tr Yucaipa Cr",49,1978,0,196,"06071008715"
"Phoenix",-120.3273,37.9998,"Sullivan Creek",52,1880,0,197,"06109002202"
"Laguna Regulating Basin",-118.1642,34.0639,"Laguna Wash",43,1970,0,198,"06037481901"
"West Point Regulating",-120.5063,38.4113,"Ruse Creek",36,1965,0,199,"06009000400"
"Sulphur Creek",-117.7063,33.55,"Sulphur Creek",42,1966,0,200,"06059042319"
"Redbank",-119.5825,36.8107,"Redbank Creek",33,1962,0,201,"06019005915"
"Tahchevah",-116.5588,33.8308,"Tachevah Creek",42,1964,0,202,"06065940500"
"Lakeview",-117.1036,33.8157,"Tr San Jacinto Riv",37,1994,0,203,"06065042744"
"Palos Verdes Reservoir",-118.3205,33.7721,"Tr La Harbor",82,1939,0,204,"06037670702"
"Independence",-120.2907,39.4519,"Independence Cr",31,1939,0,205,"06091010000"
"Castle",-120.5462,37.4042,"Canal Creek",40,1991,0,206,"06047000503"
"Henry J. Mills Reservoir",-117.3216,33.9208,"Offstream",23,1979,0,207,"06065042217"
"White Pines",-120.3434,38.2682,"San Antonio Creek",35,1970,0,208,"06009000504"
"Pigeon Pass",-117.2535,33.9532,"Pigeon Pass",40,1958,0,209,"06065042409"
"Fountaingrove",-122.7183,38.4847,"Tr Mark West Cr",38,1953,0,210,"06097152402"
"Novato Creek",-122.6368,38.118,"Novato Creek",71,1951,0,211,"06041103100"
"Barrett",-116.6714,32.6796,"Cottonwood Cr",161,1922,0,212,"06073021302"
"Mt. Woodson",-116.9664,33.0152,"Offstream",38,1958,0,213,"06073017021"
"Scotia Log Pond",-124.1077,40.4786,"Tr Eel River",24,1910,0,214,"06023011100"
"Sutro Reservoir",-122.4553,37.752,"Offstream",55,1952,0,215,"06075030500"
"Elysian",-118.23,34.0779,"Tr Los Angeles R",71,1943,0,216,"06037980010"
"Glenoaks 968 Reservoir",-118.2128,34.1539,"Offstream",62,1949,0,217,"06037300902"
"Sawpit Debris Basin",-117.9931,34.1683,"Sawpit Wash",82,1955,0,218,"06037430301"
"Fancher Creek Detention",-119.6142,36.7646,"Fancher Creek",16,2006,0,219,"06019005904"
"Santiago Creek",-117.7226,33.7863,"Santiago Creek",136,1933,0,220,"06059021924"
"Eaton Wash Debris Basin",-118.0937,34.1684,"Eaton Wash",63,1936,0,221,"06037462500"
"Calero",-121.0827,38.5246,"Crevis Creek",55,1982,0,222,"06067008601"
"Syphon Canyon",-117.7326,33.7097,"Tr Newport Bay",59,1949,0,223,"06059052430"
"Lost Lake East",-119.9475,38.6461,"Lost Creek",15,1925,0,224,"06003010000"
"Leland",-122.089,37.8946,"Offstream",41,1955,0,225,"06013341000"
"Scotts Flat Spillway",-120.930067,39.270147,"Deer Creek                    ",55,NA,0,226,"06057000801"
"Pine Creek Detention",-122.0024,37.9073,"Pine Creek",30,1981,0,227,"06013338302"
"Tallac",-120.0115,38.9281,"Offstream",11,NA,0,228,"06017030403"
"Cuyamaca",-116.5863,32.9906,"Boulder Creek",40,1887,0,229,"06073020902"
"Puddingstone Diversion",-117.7829,34.1327,"San Dimas Wash",34,1928,0,230,"06037400207"
"Sobrante Clearwell",-122.2808,37.964,"Offstream",28,1964,0,231,"06013360102"
"Mallard",-122.0359,38.014,"Offstream",30,1930,0,232,"06013315000"
"Pardee",-120.85,38.2571,"Mokelumne River               ",352,1929,0,233,"06009000221"
"Brand Park",-118.275,34.1851,"Offstream",99,1930,0,234,"06037300702"
"Murphys Forebay South",-120.4293,38.1493,"Angels Creek                  ",27,1953,0,235,"06009000501"
"Day Creek Debris Basin",-117.5432,34.1761,"Day Creek",90,1988,0,236,"06071009202"
"East Glorietta",-118.2269,34.1891,"Tr Verdugo Can",22,1932,0,237,"06037300800"
"Bear Valley Sh",-120.0343,38.4549,"Tr Bloods Creek",43,1975,0,238,"06003010000"
"Sand Canyon",-117.7947,33.6477,"Sand Canyon",58,1912,0,239,"06059062630"
"Redhawk Lake",-120.4944,38.3256,"Nfk Calaveras Riv",33,1882,0,240,"06009000400"
"Riviera Reservoir",-118.5005,34.0505,"Offstream",40,1962,0,241,"06037262802"
"Bouquet Canyon",-118.3866,34.5784,"Bouquet Creek",190,1934,0,242,"06037920050"
"Kern River County Park",-118.8601,35.4414,"Tr Kern River",24,1959,0,243,"06029005104"
"Gerle Creek",-120.3942,38.9663,"Gerle Creek                   ",65,1962,0,244,"06017030603"
"Lower Sunset Debris Basin",-118.297,34.1956,"Sunset Canyon",86,1963,0,245,"06037310100"
"Reclaimed Water Reservoir",-122.385979,40.65891,"Tr Churn Creek",37,1995,0,246,"06089010806"
"Blanchard Debris Basin",-118.2712,34.2539,"Blanchard Can",50,1966,0,247,"06037101300"
"Vasona Percolating",-121.9637,37.2462,"Los Gatos Crk",34,1935,0,248,"06085507100"
"Bear Gulch",-122.2276,37.4315,"Tr San Fran Bay",61,1896,0,249,"06081611400"
"Sunset North Basin",-122.4831,37.7517,"Offstream",74,1938,0,250,"06075032802"
"Mcswain",-120.3109,37.521,"Merced River                  ",97,1966,0,251,"06043000101"
"Bascherini",-121.9891,38.3684,"Tr Ulatis Creek",35,1962,0,252,"06095253207"
"Greenhorn",-122.6517,41.7093,"Greenhorn Creek",35,1960,0,253,"06093000701"
"Las Llajas",-118.6894,34.3029,"Las Llajas Can",96,1981,0,254,"06111008402"
"Chevy Chase 1290 Reservoir",-118.2143,34.1754,"Tr Sycamore Can",90,1940,0,255,"06037300901"
"Reservoir A",-120.1105,39.2587,"West Martis Cr",93,1973,0,256,"06061022011"
"Stanford Heights",-122.4509,37.7416,"Offstream",31,1928,0,257,"06075030700"
"Alta Loma Basin #2",-117.5842,34.1435,"Alta Loma Channel",22,1971,0,258,"06071002018"
"Ralston Afterbay",-120.7464,39.0043,"Rubicon River                 ",89,1966,0,259,"06061020200"
"Harbor View",-117.8668,33.6034,"Jasmine Gulch",65,1964,0,260,"06059062642"
"Scotts Flat",-120.930916,39.272601,"Deer Creek                    ",175,1948,0,261,"06057000801"
"Lake Wohlford",-117.0048,33.1676,"Escondido Creek",100,1924,0,262,"06073020711"
"Demens Creek Debris Basin",-117.604,34.1579,"Demens Creek",35,1980,0,263,"06071002017"
"Hestan Vineyards Dam",-122.1086,38.321,"",21,NA,0,264,"06055201403"
"Lower Blue Lake",-119.9271,38.6088,"Blue Creek                    ",40,1885,0,265,"06003010000"
"Cape Horn",-123.116259,39.386054,"Eel River                     ",60,1907,0,266,"06045010802"
"Lake Ralphine",-122.67,38.4549,"Tr Santa Rosa Cr",35,1882,0,267,"06097151702"
"Lake Theodore",-121.0136,38.973,"Sfk Dry Creek",40,1896,0,268,"06061021901"
"Sunset South Basin",-122.4855,37.7498,"Offstream",34,1960,0,269,"06075032802"
"Big Pine Creek",-118.4857,37.1245,"Big Pine Creek",14,NA,0,270,"06027000500"
"Arundell Barranca",-119.2194,34.2992,"Arundell Barranca",57,1996,0,271,"06111009600"
"San Marcos",-117.1671,33.1153,"Tr San Marcos Crk",85,1958,0,272,"06073020044"
"Forest Lake",-121.9409,36.5919,"Offstream",65,1892,0,273,"06053011902"
"Weber",-120.6925,38.7163,"Nfk Weber Creek",92,1924,0,274,"06017031301"
"Danville",-122.0044,37.8124,"Offstream",75,1961,0,275,"06013345203"
"Antelope",-118.4374,35.1064,"Antelope Creek",57,1987,0,276,"06029006012"
"Hinkle",-121.1741,38.7138,"Tr American Rv",20,1980,0,277,"06061020601"
"Svcsd Reclamation Pond 2",-122.3837,38.2186,"Offstream",19,1990,0,278,"06097150100"
"Marshburn Retarding Basin",-117.7299,33.6941,"Tr Marshburn Chan",27,1998,0,279,"06059052430"
"Woodcrest",-117.3792,33.9041,"Woodcrest Creek",44,1954,0,280,"06065030604"
"Lake Wyandotte",-121.4214,39.5071,"No Honcut Creek",46,1924,0,281,"06007002402"
"Stockton Creek",-119.9595,37.4986,"Stockton Creek",95,1950,0,282,"06043000101"
"Cucamonga Creek Debris Basin",-117.6396,34.1478,"Cucamonga Creek",60,1980,0,283,"06071000820"
"Anderson",-121.6308,37.1676,"Coyote Creek                  ",240,1950,0,284,"06085513500"
"Devil Canyon Second Afterbay",-117.335379,34.20418,"Devil Canyon Creek            ",40,1995,0,285,"06071004512"
"University Mound South Basin",-122.4122,37.7232,"Offstream",61,1937,0,286,"06075025900"
"Pit No. 5 Open Conduit",-121.895469,40.998697,"Pit River                     ",71,1944,0,287,"06089012606"
"San Joaquin No. 3 Forebay",-119.5325,37.2534,"North Fork Willow Creek       ",40,1906,0,288,"06039000102"
"Foster",-116.7272,33.7571,"Lily Creek",38,1945,0,289,"06065044405"
"Parish Camp Saddle",-121.5605,39.6743,"Dry Creek/Cherokee Canal      ",27,1968,0,290,"06007002300"
"Buck Island Auxiliary",-120.2558,39.005,"Rockbound Creek               ",25,1963,0,291,"06017030603"
"Portola",-117.5836,33.6307,"Canada Gobernadora",53,1980,0,292,"06059032044"
"Big Dalton Debris Basin",-117.8347,34.1562,"Big Dalton Wash",59,1960,0,293,"06037400404"
"Skinner Clearwell",-117.0807,33.5764,"Offstream",44,1991,0,294,"06065043292"
"Meadow Lane",-122.776,38.3739,"Offstream",30,1979,0,295,"06097153301"
"Cedar Springs",-117.3197,34.3041,"Mojave River                  ",249,1971,0,296,"06071010805"
"Upper Gorge",-118.5898,37.5459,"Owens River",44,1953,0,297,"06051000101"
